,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
0, Bridge Fire,2017-10-31 11:22:00, Shasta-Trinity National Forest ,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37, Shasta-Trinity National Forest ,-122.309,40.774,2018-01-09 13:46:00,2018-01-09,2017-10-31
1,Pala Fire,2009-05-24 14:56:00,CAL FIRE San Diego Unit,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122,CAL FIRE San Diego Unit,1.0,1.0,2009-05-25 00:00:00,2009-05-25,2009-05-24
2,River Fire,2013-02-24 08:16:00,CAL FIRE San Bernardino Unit,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",406,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651000000001,36.602575,2013-02-28 20:00:00,2013-02-28,2013-02-24
3,Fawnskin Fire,2013-04-20 17:30:00,San Bernardino National Forest,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30,San Bernardino National Forest,-116.94131100000001,34.288877,2013-04-22 09:00:00,2013-04-22,2013-04-20
4,Gold Fire,2013-04-30 12:59:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,CAL FIRE Madera-Mariposa-Merced Unit,-119.63500400000001,37.116295,2013-05-01 07:00:00,2013-05-01,2013-04-30
5,Panther Fire,2013-05-01 09:12:00,CAL FIRE Butte Unit,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6965,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,2013-05-09 09:00:00,2013-05-09,2013-05-01
6,Silverado Fire,2013-04-30 23:44:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,"7300 block of Silverado Trail, north of Napa",75,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,2013-05-01 17:15:00,2013-05-01,2013-04-30
7,Yellow Fire,2013-05-01 02:01:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828000000004,2013-05-03 06:15:00,2013-05-03,2013-05-01
8,Summit Fire,2013-05-01 12:38:00,CAL FIRE/Riverside County Fire ,Riverside,Mias Canyon and Bluff Road in Banning,3166,CAL FIRE/Riverside County Fire ,-116.94131100000001,34.288877,2013-05-04 18:30:00,2013-05-04,2013-05-01
9,Tres Pinos Fire,2013-05-03 11:42:00,CAL FIRE San Benito-Monterey ,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354,CAL FIRE San Benito-Monterey ,-120.937494,37.160346000000004,2013-05-03 18:45:00,2013-05-03,2013-05-03
10,306 Fire,2013-05-01 19:00:00,CAL FIRE Tehama-Glenn Unit,Glenn,2 miles south of the community of Elk Creek,217,CAL FIRE Tehama-Glenn Unit,-122.56086200000001,39.514139,2013-05-05 18:00:00,2013-05-05,2013-05-01
11,Lytle Fire,2013-05-13 13:30:00,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",75,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,2013-05-15 08:15:00,2013-05-15,2013-05-13
12,Gorgonio Fire,2013-05-04 11:43:00,CAL FIRE/Riverside County Fire,Riverside,"Highway 243, south of Banning and north of Pine Cove",510,CAL FIRE/Riverside County Fire,-116.855019,33.894055,2013-05-05 18:45:00,2013-05-05,2013-05-04
13,Grand Fire,2013-05-15 12:50:00,CAL FIRE / USFS Los Padres National Forest,"Kern, Ventura","South of Frazier Mountain Park Rd, South of Frazier Park",4346,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,2013-05-21 19:45:00,2013-05-21,2013-05-15
14,54 Fire,2013-05-16 13:48:00,CAL FIRE Riverside Unit,Riverside,"Avenue 54 and Tyler Street, near the community of Coachella",40,CAL FIRE Riverside Unit,-116.161201,33.655638,2013-05-17 08:30:00,2013-05-17,2013-05-16
15,Lake Fire,2013-05-17 13:23:00,CAL FIRE/Los Angeles County ,Los Angeles,I-5 Southbound at Lake Hughes Road,712,CAL FIRE/Los Angeles County ,-118.61004399999999,34.49149,2013-05-18 19:00:00,2013-05-18,2013-05-17
16,Lilly 2 Fire,2013-05-19 15:07:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,91,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,2013-05-20 19:10:00,2013-05-20,2013-05-19
17,Cottontail Fire,2013-05-20 15:45:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,2013-05-20 19:10:00,2013-05-20,2013-05-20
18,Cherry Fire,2013-05-20 13:47:00,CAL FIRE Riverside Unit,Riverside,Off Sunset Ave & Mesa St in Banning,25,CAL FIRE Riverside Unit,-116.90721299999998,33.96201,2013-05-20 18:50:00,2013-05-20,2013-05-20
19,Water Fire,2013-05-21 14:16:00,CAL FIRE/Riverside County Fire ,Riverside,Off Whitewater Canyon Road in Whitewater,90,CAL FIRE/Riverside County Fire ,-116.6534,33.9582,2013-05-21 19:30:00,2013-05-21,2013-05-21
