,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Snowdepth,Wind,Gust Wind,Sea Level Pressure,elevation
0, Bridge Fire,2017-10-31 11:22:00, Shasta-Trinity National Forest ,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37, Shasta-Trinity National Forest ,-122.309,40.774,2018-01-09 13:46:00,2018-01-09,2017-10-31,70.57,59.01,48.43,44.86,0.02,0.0,5.52,2.84,29.36,341.2859802246094
3,Fawnskin Fire,2013-04-20 17:30:00,San Bernardino National Forest,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30,San Bernardino National Forest,-116.941311,34.288877,2013-04-22 09:00:00,2013-04-22,2013-04-20,72.71,65.26,51.57,27.11,0.0,0.0,6.4,4.59,28.74,2411.368408203125
4,Gold Fire,2013-04-30 12:59:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,2013-05-01 07:00:00,2013-05-01,2013-04-30,92.0,77.98,63.29,40.1,0.0,0.0,6.08,0.6,29.51,484.6160888671875
6,Silverado Fire,2013-04-30 23:44:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,"7300 block of Silverado Trail, north of Napa",75,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,2013-05-01 17:15:00,2013-05-01,2013-04-30,88.71,65.77,47.0,39.54,0.0,0.0,5.01,2.21,29.72,66.2412109375
7,Yellow Fire,2013-05-01 02:01:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,2013-05-03 06:15:00,2013-05-03,2013-05-01,88.71,65.77,47.0,39.54,0.0,0.0,5.01,2.21,29.72,255.6709899902344
8,Summit Fire,2013-05-01 12:38:00,CAL FIRE/Riverside County Fire ,Riverside,Mias Canyon and Bluff Road in Banning,3166,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,2013-05-04 18:30:00,2013-05-04,2013-05-01,87.14,75.65,55.29,35.28,0.0,0.0,5.59,1.54,28.67,2411.368408203125
9,Tres Pinos Fire,2013-05-03 11:42:00,CAL FIRE San Benito-Monterey ,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,2013-05-03 18:45:00,2013-05-03,2013-05-03,85.14,69.29,55.71,41.68,0.0,0.0,6.71,1.42,29.84,24.83391571044922
10,306 Fire,2013-05-01 19:00:00,CAL FIRE Tehama-Glenn Unit,Glenn,2 miles south of the community of Elk Creek,217,CAL FIRE Tehama-Glenn Unit,-122.560862,39.514139,2013-05-05 18:00:00,2013-05-05,2013-05-01,87.0,73.86,60.86,27.52,0.0,0.0,11.47,9.79,29.41,526.162109375
11,Lytle Fire,2013-05-13 13:30:00,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",75,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,2013-05-15 08:15:00,2013-05-15,2013-05-13,85.43,72.19,61.57,48.76,0.0,0.0,6.83,2.97,28.9,617.939208984375
12,Gorgonio Fire,2013-05-04 11:43:00,CAL FIRE/Riverside County Fire,Riverside,"Highway 243, south of Banning and north of Pine Cove",510,CAL FIRE/Riverside County Fire,-116.855019,33.894055,2013-05-05 18:45:00,2013-05-05,2013-05-04,97.57,84.67,69.71,20.96,0.0,0.0,7.12,5.47,29.29,923.4080810546876
